Group,Scenario,Recovery_status,Recovery_time,Reaction_time,Response_time,Accuracy,Alarms_silenced,Alarms_ack,Mimics_opened,No_of_procedures,No_of_alarms,Consequence,Overall_performance
G4,S2,Optimal,60,46,65,0.0212189139092848,1,0,2,4,1,Safe,Optimal
G4,S2,Optimal,335,25,43,4.73E-06,4,4,2,4,4,Safe,Good
G4,S2,Poor,505,31,49,4.73E-06,2,2,3,4,2,Impurity of air in tank atmosphere,Poor
G4,S2,Optimal,165,28,524,0.1225,3,3,2,4,3,Safe,Optimal
G4,S2,Good,410,305,375,3.91E-05,2,2,2,2,2,Impurity of air in tank atmosphere,Good
G4,S2,Optimal,269,25,326,0.000105413041561797,3,3,2,4,3,Safe,Good
G4,S2,Optimal,60,28,45,0.237391378189981,1,0,3,2,1,Safe,Optimal
G4,S2,Optimal,60,55,143,0.00218454631379962,1,1,5,4,1,Safe,Optimal
G4,S2,Optimal,60,27,45,0.283093395557656,1,1,2,2,1,Safe,Optimal
G4,S2,Optimal,60,25,43,0.291827008458418,1,1,2,2,1,Safe,Optimal
G4,S2,Optimal,60,29,48,0.283093395557656,1,0,2,2,1,Safe,Optimal
G4,S2,Optimal,525,23,105,0.01,0,2,6,4,3,Safe,Poor
G4,S2,Optimal,60,31,50,0.287447498227788,1,1,2,2,1,Safe,Optimal
G4,S2,Optimal,60,25,65,0.283093395557656,1,1,2,2,1,Safe,Optimal
G4,S2,Optimal,313,261,321,4.73E-06,2,1,2,2,2,Safe,Good
G4,S2,Optimal,60,24,36,0.274484877126654,1,1,2,2,1,Safe,Optimal
G4,S2,Optimal,60,25,57,0.283093395557656,1,1,2,2,1,Safe,Optimal
G4,S3,Poor,1009,95,1009,69.4362317143428,12,12,3,0,17,Reactor Overheated,Poor
G4,S3,Optimal,1020,62,1020,3.48991221121063,10,11,3,9,13,Safe,Optimal
G4,S3,Poor,398,72,398,25.0852747959589,0,0,2,9,19,Reactor Overheated,Poor
G4,S3,Optimal,609,79,609,5.16022553630822,9,10,3,11,11,Outliers,Poor
G4,S3,Optimal,1020,105,1020,5.10242248040129,14,0,4,12,14,Safe,Optimal
G4,S3,Poor,555,58,555,36.0691963841361,9,10,3,11,19,Reactor Overheated,Poor
G4,S3,Poor,577,108,577,27.6271926130255,10,18,3,13,20,Reactor Overheated,Poor
G4,S3,Optimal,1062,115,1062,6.44723058803212,0,0,2,13,22,Safe,Optimal
G4,S3,Poor,236,125,236,0.612907418560731,11,11,2,4,16,Reactor Overheated,Poor
G4,S3,Poor,601,105,601,153.362137806647,15,15,3,6,16,Reactor Overheated,Poor
G4,S3,Optimal,597,110,597,,24,24,3,3,25,Reactor Overheated,Poor
G4,S3,Poor,1023,298,1023,233.471905689345,0,4,3,5,22,Reactor Overheated,Poor
G4,S3,Poor,558,105,558,,17,17,3,13,20,Reactor Overheated,Poor
G4,S3,Optimal,782,109,782,385.144421677425,21,4,5,9,24,Plant Shutdown,Poor
G4,S3,Poor,685,151,685,187.88977620023,16,16,6,13,18,Reactor Overheated,Poor
G4,S3,Poor,548,105,548,,19,19,3,12,19,Reactor Overheated,Poor
G4,S3,Optimal,443,87,443,984.068709453874,6,4,4,7,24,Plant Shutdown,Poor
G4,S3,Poor,780,112,780,72.631080825905,20,1,3,12,20,Reactor Overheated,Poor
G4,S3,Poor,653,105,653,106.410396105228,0,1,4,8,21,Reactor Overheated,Poor
G4,S3,Poor,904,111,904,56.8452994883587,8,2,3,11,18,Reactor Overheated,Poor
G4,S3,Poor,670,115,670,57.3539672370427,2,6,5,9,20,Reactor Overheated,Poor
G4,S3,Poor,644,275,644,39.5403447367605,19,7,3,9,19,Reactor Overheated,Poor
G4,S3,Optimal,409,105,409,0.00770929677516729,18,10,3,3,18,Outliers,Poor
G4,S3,Poor,537,105,537,109.34961704056,19,19,3,4,23,Reactor Overheated,Poor
